Training Epoch: 1 [44672/45388]	Loss: 1.3229	LR: 0.004915
Training Epoch: 1 [44800/45388]	Loss: 1.2445	LR: 0.004930
Training Epoch: 1 [44928/45388]	Loss: 1.2902	LR: 0.004944
Training Epoch: 1 [45056/45388]	Loss: 1.4179	LR: 0.004958
Training Epoch: 1 [45184/45388]	Loss: 1.2259	LR: 0.004972
Training Epoch: 1 [45312/45388]	Loss: 1.2764	LR: 0.004986
Training Epoch: 1 [45388/45388]	Loss: 1.1799	LR: 0.005000
epoch 1 training time consumed: 112.82s
GPU INFO.....
|===========================================================================|
|                  PyTorch CUDA memory summary, device ID 0                 |
|---------------------------------------------------------------------------|
|            CUDA OOMs: 0            |        cudaMalloc retries: 0         |
|===========================================================================|
|        Metric         | Cur Usage  | Peak Usage | Tot Alloc  | Tot Freed  |
|---------------------------------------------------------------------------|
| Allocated memory      | 132173 KiB |   5501 MiB |   4642 GiB |   4642 GiB |
|       from large pool |  95720 KiB |   5471 MiB |   4624 GiB |   4624 GiB |
|       from small pool |  36453 KiB |     47 MiB |     17 GiB |     17 GiB |
|---------------------------------------------------------------------------|
| Active memory         | 132173 KiB |   5501 MiB |   4642 GiB |   4642 GiB |
|       from large pool |  95720 KiB |   5471 MiB |   4624 GiB |   4624 GiB |
|       from small pool |  36453 KiB |     47 MiB |     17 GiB |     17 GiB |
|---------------------------------------------------------------------------|
| Requested memory      | 132024 KiB |   5483 MiB |   4625 GiB |   4625 GiB |
|       from large pool |  95720 KiB |   5452 MiB |   4608 GiB |   4608 GiB |
|       from small pool |  36304 KiB |     46 MiB |     17 GiB |     17 GiB |
|---------------------------------------------------------------------------|
| GPU reserved memory   |   6798 MiB |   6798 MiB |   6798 MiB |      0 B   |
|       from large pool |   6746 MiB |   6746 MiB |   6746 MiB |      0 B   |
|       from small pool |     52 MiB |     52 MiB |     52 MiB |      0 B   |
|---------------------------------------------------------------------------|
| Non-releasable memory |  43954 KiB |    883 MiB | 305752 MiB | 305709 MiB |
|       from large pool |  37400 KiB |    874 MiB | 286403 MiB | 286366 MiB |
|       from small pool |   6554 KiB |     15 MiB |  19348 MiB |  19342 MiB |
|---------------------------------------------------------------------------|
| Allocations           |     672    |     917    |  313383    |  312711    |
